                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6827,                 4.7537,                 3.8904,                0.25481,                0.09141,                0.00745,                0.00203,                 3.3327,                 5.0319,                 3.6097,              0.0033298,              0.0033298,              0.0033298
                      2,                 2.8321,                 3.8399,                 2.9739,                0.31441,                0.08942,                0.03258,                0.01085,                  2.612,                  3.892,                 2.7748,              0.0065972,              0.0065972,              0.0065972
                      3,                 2.4382,                 3.3538,                 2.5161,                0.36958,                0.09607,                0.04953,                0.01496,                 2.4476,                 3.4732,                 2.5898,              0.0097985,              0.0097985,              0.0097985
                      4,                 2.2717,                 3.1101,                  2.304,                0.13988,                0.18267,                 0.1035,                 0.0386,                 2.2545,                 3.1276,                 2.3485,               0.009703,               0.009703,               0.009703
                      5,                 2.1675,                 2.9063,                 2.1841,                0.27257,                0.21593,                 0.1576,                0.06144,                 2.1395,                 2.9531,                 2.2414,               0.009703,               0.009703,               0.009703
                      6,                  2.105,                 2.7944,                 2.1114,                0.23066,                 0.2248,                0.16167,                0.06577,                  2.085,                 2.8287,                 2.1715,               0.009604,               0.009604,               0.009604
                      7,                 2.0641,                 2.7077,                 2.0571,                0.48196,                0.21789,                0.20996,                0.08599,                 2.0629,                 2.7599,                 2.0808,               0.009505,               0.009505,               0.009505
                      8,                 2.0211,                  2.608,                 2.0153,                0.37277,                0.24761,                0.23068,                0.09538,                 2.0307,                   2.71,                 2.0787,               0.009406,               0.009406,               0.009406
                      9,                 2.0065,                 2.5571,                 1.9897,                0.30146,                0.31977,                0.25929,                0.10505,                 2.0105,                 2.5541,                 2.0674,               0.009307,               0.009307,               0.009307
                     10,                 1.9704,                 2.4895,                 1.9536,                0.34294,                 0.3142,                0.26797,                0.11462,                 1.9579,                 2.4948,                 2.0135,               0.009208,               0.009208,               0.009208
                     11,                 1.9597,                 2.4554,                 1.9342,                0.33774,                0.32222,                0.27691,                0.11788,                 1.9759,                 2.4981,                 1.9913,               0.009109,               0.009109,               0.009109
                     12,                 1.9279,                  2.424,                 1.9159,                0.37336,                0.34967,                0.31418,                0.13539,                 1.9165,                 2.4151,                 1.9503,                0.00901,                0.00901,                0.00901
                     13,                 1.9237,                 2.3857,                 1.9039,                 0.3466,                0.34601,                0.30633,                0.13709,                 1.9213,                 2.3723,                 1.9367,               0.008911,               0.008911,               0.008911
                     14,                  1.908,                 2.3575,                 1.8839,                0.39289,                0.35924,                0.32447,                0.14691,                 1.9019,                 2.3426,                 1.9243,               0.008812,               0.008812,               0.008812
                     15,                  1.893,                 2.3279,                  1.871,                0.41315,                0.37233,                0.33994,                0.15251,                 1.8885,                 2.3196,                 1.8905,               0.008713,               0.008713,               0.008713
                     16,                 1.8742,                 2.3027,                 1.8509,                0.39731,                0.37767,                0.35467,                0.16028,                 1.8763,                 2.2733,                 1.8826,               0.008614,               0.008614,               0.008614
                     17,                 1.8749,                 2.2795,                 1.8454,                0.42237,                0.37784,                0.35091,                0.15409,                 1.8868,                 2.2542,                 1.9155,               0.008515,               0.008515,               0.008515
                     18,                 1.8625,                 2.2798,                 1.8388,                0.43778,                0.39478,                0.37151,                0.17134,                 1.8501,                 2.2015,                 1.8647,               0.008416,               0.008416,               0.008416
                     19,                 1.8478,                   2.23,                 1.8233,                0.45528,                0.38288,                 0.3694,                0.16835,                 1.8484,                 2.2173,                 1.8834,               0.008317,               0.008317,               0.008317
                     20,                   1.85,                 2.2294,                 1.8204,                0.46463,                 0.3886,                0.38697,                  0.175,                 1.8495,                 2.1633,                 1.8566,               0.008218,               0.008218,               0.008218
                     21,                 1.8373,                 2.1942,                 1.8109,                0.44979,                  0.402,                0.38593,                0.17895,                 1.8495,                 2.1451,                  1.847,               0.008119,               0.008119,               0.008119
                     22,                 1.8299,                 2.1915,                 1.8073,                0.44778,                0.40224,                0.39885,                0.18619,                 1.8333,                 2.1163,                 1.8373,                0.00802,                0.00802,                0.00802
                     23,                 1.8264,                 2.1804,                 1.8025,                 0.4395,                0.42124,                0.40222,                0.18703,                 1.8251,                 2.1014,                 1.8309,               0.007921,               0.007921,               0.007921
                     24,                 1.8176,                 2.1678,                 1.7903,                0.44876,                0.43078,                0.40717,                0.19239,                 1.8198,                 2.0772,                 1.8186,               0.007822,               0.007822,               0.007822
                     25,                  1.817,                 2.1576,                 1.7843,                0.47731,                0.41768,                0.41388,                0.19761,                 1.8166,                 2.0721,                 1.8075,               0.007723,               0.007723,               0.007723
                     26,                 1.8144,                 2.1548,                 1.7809,                0.46968,                0.43143,                0.41454,                0.19634,                 1.8047,                 2.0607,                 1.8166,               0.007624,               0.007624,               0.007624
                     27,                 1.8083,                 2.1226,                 1.7738,                  0.485,                 0.4248,                0.42274,                0.20133,                 1.8024,                 2.0472,                 1.7976,               0.007525,               0.007525,               0.007525
                     28,                 1.8021,                  2.112,                 1.7697,                0.46237,                0.44957,                0.43414,                0.20509,                 1.8056,                 2.0363,                  1.802,               0.007426,               0.007426,               0.007426
                     29,                 1.8004,                 2.1065,                 1.7629,                0.49937,                 0.4488,                0.43751,                 0.2073,                 1.7989,                   2.01,                 1.7984,               0.007327,               0.007327,               0.007327
                     30,                 1.7857,                 2.0874,                 1.7661,                0.48583,                0.43352,                0.43698,                0.20849,                 1.7904,                 2.0107,                 1.8036,               0.007228,               0.007228,               0.007228
                     31,                 1.7865,                 2.0757,                 1.7508,                0.50733,                0.43936,                0.44775,                0.21184,                 1.7884,                 1.9979,                  1.795,               0.007129,               0.007129,               0.007129
                     32,                 1.7891,                 2.0759,                 1.7567,                0.50367,                0.44435,                0.45261,                  0.216,                 1.7851,                  1.975,                 1.7821,                0.00703,                0.00703,                0.00703
                     33,                  1.767,                 2.0565,                 1.7381,                0.49543,                0.45179,                0.45057,                0.21378,                 1.7815,                 1.9673,                 1.7783,               0.006931,               0.006931,               0.006931
                     34,                 1.7719,                 2.0481,                 1.7414,                0.50684,                0.44891,                0.45136,                0.21715,                 1.7829,                 1.9594,                 1.7787,               0.006832,               0.006832,               0.006832
                     35,                  1.766,                 2.0344,                 1.7373,                0.49709,                0.45819,                0.44946,                0.21917,                  1.771,                 1.9549,                 1.7683,               0.006733,               0.006733,               0.006733
                     36,                 1.7585,                 2.0226,                 1.7328,                0.50486,                0.45381,                0.45945,                0.22409,                 1.7644,                 1.9424,                 1.7657,               0.006634,               0.006634,               0.006634
                     37,                 1.7593,                 2.0152,                 1.7267,                0.51026,                0.45665,                0.46218,                0.22531,                 1.7657,                 1.9376,                 1.7643,               0.006535,               0.006535,               0.006535
                     38,                 1.7523,                  1.998,                  1.722,                0.51896,                0.45067,                0.46897,                0.22879,                 1.7625,                 1.9207,                 1.7585,               0.006436,               0.006436,               0.006436
                     39,                 1.7507,                  1.995,                 1.7217,                0.51517,                0.46563,                0.47061,                0.23036,                 1.7625,                 1.9118,                  1.761,               0.006337,               0.006337,               0.006337
                     40,                 1.7399,                 1.9899,                 1.7175,                0.51185,                 0.4679,                0.47087,                 0.2303,                 1.7528,                 1.9041,                 1.7512,               0.006238,               0.006238,               0.006238
                     41,                 1.7411,                 1.9888,                 1.7124,                0.51672,                  0.469,                0.47446,                0.23119,                 1.7508,                 1.9083,                 1.7554,               0.006139,               0.006139,               0.006139
                     42,                 1.7357,                 1.9815,                 1.7091,                0.52332,                 0.4653,                0.47684,                0.23239,                 1.7523,                 1.9035,                 1.7517,                0.00604,                0.00604,                0.00604
                     43,                 1.7302,                 1.9661,                 1.7076,                0.52044,                0.46868,                0.47869,                0.23485,                  1.753,                 1.8869,                 1.7526,               0.005941,               0.005941,               0.005941
                     44,                 1.7287,                 1.9616,                 1.7019,                0.51388,                0.47971,                0.48233,                0.23411,                 1.7543,                 1.8746,                 1.7521,               0.005842,               0.005842,               0.005842
                     45,                 1.7356,                 1.9432,                 1.6981,                0.52459,                0.47458,                0.48417,                0.23644,                 1.7539,                 1.8742,                   1.75,               0.005743,               0.005743,               0.005743
